title,genre,vote_average,rtAllCriticsRating
Once Upon a Time in the West,Western,8.1,9
Caddyshack,Comedy,6.6,6.5
Can't Hardly Wait,Comedy,6.1,5.4
Can't Hardly Wait,Drama,6.1,5.4
Can't Hardly Wait,Romance,6.1,5.4
Cape Fear,Crime,7,6.9
Cape Fear,Thriller,7,6.9
Capote,Crime,6.8,8.2
Capote,Drama,6.8,8.2
Captain Corelli's Mandolin,Drama,5.5,4.4
Captain Corelli's Mandolin,History,5.5,4.4
Captain Corelli's Mandolin,Romance,5.5,4.4
Carrie,Drama,5.8,8
Carrie,Horror,5.8,8
Cars,Animation,6.6,6.9
Cars,Adventure,6.6,6.9
Cars,Comedy,6.6,6.9
Cars,Family,6.6,6.9
Casablanca,Drama,7.9,9
Casablanca,Romance,7.9,9
Casino,Drama,7.8,7.2
Casino,Crime,7.8,7.2
Casino Royale,Adventure,7.3,7.8
Casino Royale,Action,7.3,7.8
Casino Royale,Thriller,7.3,7.8
Casper,Fantasy,6,4.7
Casper,Comedy,6,4.7
Casper,Family,6,4.7
Cast Away,Adventure,7.5,7.4
Cast Away,Drama,7.5,7.4
Cat on a Hot Tin Roof,Drama,7.6,7.8
Cat on a Hot Tin Roof,Romance,7.6,7.8
Catch Me If You Can,Drama,7.7,7.9
Catch Me If You Can,Crime,7.7,7.9
Catch That Kid,Family,4.9,3.8
Catch That Kid,Action,4.9,3.8
Catch That Kid,Adventure,4.9,3.8
Catch-22,War,6.7,7.2
Catch-22,Comedy,6.7,7.2
Catch-22,Drama,6.7,7.2
Cats Don't Dance,Animation,7.1,6.5
Cats Don't Dance,Comedy,7.1,6.5
Cats Don't Dance,Family,7.1,6.5
Cats Don't Dance,Music,7.1,6.5
Catwoman,Action,4.2,3.1
Catwoman,Crime,4.2,3.1
Cellular,Action,6.1,5.8
Cellular,Adventure,6.1,5.8
Cellular,Crime,6.1,5.8
Cellular,Thriller,6.1,5.8
Center Stage,Drama,6.8,5
Center Stage,Music,6.8,5
Central Station,Drama,7.6,7.9
Chain Reaction,Action,5.3,4.1
Chain Reaction,Drama,5.3,4.1
Chain Reaction,Science Fiction,5.3,4.1
Chain Reaction,Thriller,5.3,4.1
Changeling,Crime,7.3,6.3
Changeling,Drama,7.3,6.3
Changeling,Mystery,7.3,6.3
Changing Lanes,Action,5.9,7
Changing Lanes,Adventure,5.9,7
Changing Lanes,Crime,5.9,7
Changing Lanes,Thriller,5.9,7
Chariots of Fire,Drama,6.8,7.4
Chariots of Fire,History,6.8,7.4
Charlie Wilson's War,Comedy,6.5,7
Charlie Wilson's War,Drama,6.5,7
Charlie Wilson's War,History,6.5,7
Charlie's Angels: Full Throttle,Action,5.2,5
Charlie's Angels: Full Throttle,Adventure,5.2,5
Charlie's Angels: Full Throttle,Comedy,5.2,5
Charlotte's Web,Comedy,5.8,7
Charlotte's Web,Family,5.8,7
Charlotte's Web,Fantasy,5.8,7
Chasing Amy,Comedy,6.7,7.5
Chasing Amy,Drama,6.7,7.5
Chasing Amy,Romance,6.7,7.5
Cheaper by the Dozen,Comedy,6,4.6
Cheaper by the Dozen 2,Comedy,5.7,3.6
Chicken Little,Animation,5.6,5.4
Chicken Little,Family,5.6,5.4
Chicken Little,Comedy,5.6,5.4
Chicken Run,Animation,6.5,8
Chicken Run,Comedy,6.5,8
Chicken Run,Family,6.5,8
Child's Play 2,Drama,5.8,4.2
Child's Play 2,Horror,5.8,4.2
Children of Men,Drama,7.4,8
Children of Men,Action,7.4,8
Children of Men,Thriller,7.4,8
Children of Men,Science Fiction,7.4,8
Chill Factor,Action,5.3,3.3
Chill Factor,Comedy,5.3,3.3
Chill Factor,Thriller,5.3,3.3
Chocolat,Comedy,6.8,6
Chocolat,Drama,6.8,6
Chocolat,Romance,6.8,6
Choke,Comedy,6,5.6
Choke,Drama,6,5.6
City of God,Drama,8.1,8.3
City of God,Crime,8.1,8.3
Cinderella,Romance,6.7,7.3
Cinderella,Fantasy,6.7,7.3
Cinderella,Family,6.7,7.3
Cinderella,Drama,6.7,7.3
Cinderella Man,Romance,7.3,7.4
Cinderella Man,Drama,7.3,7.4
Cinderella Man,History,7.3,7.4
City of Ember,Adventure,6.2,5.7
City of Ember,Family,6.2,5.7
City of Ember,Fantasy,6.2,5.7
Clash of the Titans,Adventure,5.6,5.8
Clash of the Titans,Fantasy,5.6,5.8
Clash of the Titans,Action,5.6,5.8
Clear and Present Danger,Action,6.4,6.8
Clear and Present Danger,Drama,6.4,6.8
Clear and Present Danger,Thriller,6.4,6.8
Cleopatra,Drama,6.7,5.4
Cleopatra,History,6.7,5.4
Cleopatra,Romance,6.7,5.4
Clerks II,Comedy,6.9,6.1
Click,Comedy,6,4.8
Click,Drama,6,4.8
Click,Fantasy,6,4.8
Click,Romance,6,4.8
Cliffhanger,Action,6.1,6.3
Cliffhanger,Adventure,6.1,6.3
Cliffhanger,Thriller,6.1,6.3
Clockstoppers,Adventure,4.9,4.7
Clockstoppers,Family,4.9,4.7
Clockstoppers,Science Fiction,4.9,4.7
Clockstoppers,Thriller,4.9,4.7
Close Encounters of the Third Kind,Science Fiction,7.2,8.6
Close Encounters of the Third Kind,Drama,7.2,8.6
Closer,Drama,6.7,6.6
Closer,Romance,6.7,6.6
Cloverfield,Action,6.4,6.7
Cloverfield,Thriller,6.4,6.7
Cloverfield,Science Fiction,6.4,6.7
Club Dread,Comedy,5.1,4.4
Club Dread,Horror,5.1,4.4
Coach Carter,Drama,7.3,6.1
Coal Miner's Daughter,Drama,7.2,8.1
Coal Miner's Daughter,Music,7.2,8.1
Code Name: The Cleaner,Action,4.7,2.9
Code Name: The Cleaner,Comedy,4.7,2.9
Code Name: The Cleaner,Crime,4.7,2.9
Cold Mountain,Drama,6.7,6.7
Collateral,Drama,7,7.4
Collateral,Crime,7,7.4
Collateral,Thriller,7,7.4
Collateral Damage,Action,5.5,4
Collateral Damage,Thriller,5.5,4
Collateral Damage,Drama,5.5,4
College,Comedy,4.8,2.5
Commando,Action,6.4,6
Commando,Adventure,6.4,6
Commando,Thriller,6.4,6
Con Air,Action,6.5,5.7
Con Air,Thriller,6.5,5.7
Con Air,Crime,6.5,5.7
Conan the Barbarian,Adventure,6.6,6.4
Conan the Barbarian,Fantasy,6.6,6.4
Conan the Barbarian,Action,6.6,6.4
Confessions of a Teenage Drama Queen,Comedy,5.1,3.8
Congo,Action,5,3.6
Congo,Adventure,5,3.6
Congo,Drama,5,3.6
Congo,Mystery,5,3.6
Congo,Science Fiction,5,3.6
Congo,Thriller,5,3.6
Connie and Carla,Comedy,6.4,5.1
Conquest of the Planet of the Apes,Action,6.1,5.5
Conquest of the Planet of the Apes,Science Fiction,6.1,5.5
Conspiracy Theory,Action,6.5,6.2
Conspiracy Theory,Drama,6.5,6.2
Conspiracy Theory,Mystery,6.5,6.2
Conspiracy Theory,Thriller,6.5,6.2
Contact,Drama,7.2,6.8
Contact,Science Fiction,7.2,6.8
Contact,Mystery,7.2,6.8
Conversations with Other Women,Drama,6.2,6.5
Conversations with Other Women,Romance,6.2,6.5
Cool Runnings,Comedy,6.8,6
Cop Land,Action,6.6,6.5
Cop Land,Crime,6.6,6.5
Cop Land,Drama,6.6,6.5
Corky Romano,Action,4.1,2.8
Corky Romano,Comedy,4.1,2.8
Corky Romano,Crime,4.1,2.8
Corpse Bride,Romance,7.2,7.2
Corpse Bride,Fantasy,7.2,7.2
Corpse Bride,Animation,7.2,7.2
Corpse Bride,Music,7.2,7.2
Courage Under Fire,Drama,6.2,7.3
Courage Under Fire,Thriller,6.2,7.3
Courage Under Fire,Mystery,6.2,7.3
Courage Under Fire,War,6.2,7.3
Coyote Ugly,Comedy,5.8,3.9
Cradle 2 the Grave,Action,5.8,4.5
Cradle 2 the Grave,Crime,5.8,4.5
Cradle 2 the Grave,Drama,5.8,4.5
Crank,Action,6.6,6
Crank,Thriller,6.6,6
Crank,Crime,6.6,6
Crash,Drama,7.2,7.1
Crazy/Beautiful,Drama,6.6,5.8
Crazy/Beautiful,Romance,6.6,5.8
Creepshow,Horror,6.7,6
Creepshow,Comedy,6.7,6
Creepshow,Fantasy,6.7,6
Creepshow 2,Horror,5.9,3.7
Criminal,Action,5.7,6.4
Crimson Tide,Action,7,7.4
Crimson Tide,Thriller,7,7.4
Crimson Tide,Drama,7,7.4
Crocodile Dundee,Adventure,6.3,6.6
Crocodile Dundee,Comedy,6.3,6.6
Crocodile Dundee in Los Angeles,Adventure,4.7,3.6
Crocodile Dundee in Los Angeles,Comedy,4.7,3.6
Crossover,Action,4.2,3.2
Crossover,Adventure,4.2,3.2
Crossover,Drama,4.2,3.2
Crossroads,Action,4.7,3.9
Crossroads,Adventure,4.7,3.9
Crossroads,Comedy,4.7,3.9
Crossroads,Drama,4.7,3.9
Crossroads,Family,4.7,3.9
Crossroads,Music,4.7,3.9
Crossroads,Romance,4.7,3.9
Cruel Intentions,Drama,6.6,5.3
Cruel Intentions,Romance,6.6,5.3
Cruel Intentions,Thriller,6.6,5.3
Cry_Wolf,Horror,5.6,4
Cry_Wolf,Thriller,5.6,4
Cube,Thriller,6.9,6.1
Cube,Science Fiction,6.9,6.1
Cube,Mystery,6.9,6.1
Curious George,Adventure,6.2,6.1
Curious George,Animation,6.2,6.1
Curious George,Comedy,6.2,6.1
Curious George,Family,6.2,6.1
Cutthroat Island,Action,5.7,4.4
Cutthroat Island,Adventure,5.7,4.4
Daddy Day Camp,Comedy,4.4,2.3
Daddy Day Camp,Family,4.4,2.3
Daddy Day Care,Comedy,5.6,4.5
Daddy Day Care,Family,5.6,4.5
Dancer in the Dark,Drama,7.6,6.7
Dancer in the Dark,Crime,7.6,6.7
Dancer in the Dark,Music,7.6,6.7
Dances with Wolves,Adventure,7.6,7
Dances with Wolves,Drama,7.6,7
Dances with Wolves,Western,7.6,7
Dangerous Liaisons,Drama,7,7.7
Dangerous Liaisons,Romance,7,7.7
Dante's Peak,Action,5.7,4.9
Dante's Peak,Adventure,5.7,4.9
Dante's Peak,Thriller,5.7,4.9
Dark Blue,Action,6.5,5.8
Dark Blue,Crime,6.5,5.8
Dark Blue,Drama,6.5,5.8
Dark Blue,Thriller,6.5,5.8
Dark Water,Drama,5.3,5.5
Dark Water,Horror,5.3,5.5
Dark Water,Thriller,5.3,5.5
Das Boot,Action,7.9,9
Das Boot,Drama,7.9,9
Das Boot,History,7.9,9
Das Boot,War,7.9,9
Das Boot,Adventure,7.9,9
The Lives of Others,Drama,7.9,8.2
The Lives of Others,Thriller,7.9,8.2
Date Movie,Comedy,3.6,2.4
Dawn of the Dead,Fantasy,6.8,6.7
Dawn of the Dead,Horror,6.8,6.7
Dawn of the Dead,Action,6.8,6.7
Day of the Dead,Horror,6.9,6.5
Day of the Dead,Science Fiction,6.9,6.5
Daylight,Action,5.8,4.7
Daylight,Adventure,5.8,4.7
Daylight,Thriller,5.8,4.7
Days of Thunder,Adventure,5.9,4.6
Dazed and Confused,Comedy,7.4,7.9
Dazed and Confused,Drama,7.4,7.9
Dead Man Walking,Drama,7.3,8.2
Dead Poets Society,Drama,8.1,7.2
Death Race,Action,6,4.8
Death Race,Thriller,6,4.8
Death Race,Science Fiction,6,4.8
Death Sentence,Action,6.5,4.1
Death Sentence,Crime,6.5,4.1
Death Sentence,Drama,6.5,4.1
Death Sentence,Thriller,6.5,4.1
Deconstructing Harry,Comedy,7.3,7.2
Deconstructing Harry,Drama,7.3,7.2
Deep Blue Sea,Action,5.6,5.7
Deep Blue Sea,Science Fiction,5.6,5.7
Deep Blue Sea,Thriller,5.6,5.7
Deep Impact,Action,5.9,5.7
Deep Impact,Drama,5.9,5.7
Deep Impact,Romance,5.9,5.7
Deep Rising,Adventure,6,4.2
Deep Rising,Action,6,4.2
Deep Rising,Horror,6,4.2
Deep Rising,Science Fiction,6,4.2
Derailed,Drama,6.1,4.6
Derailed,Thriller,6.1,4.6
Desperado,Thriller,6.8,6.3
Desperado,Action,6.8,6.3
Desperado,Crime,6.8,6.3
Detroit Rock City,Comedy,6.7,5.4
Detroit Rock City,Music,6.7,5.4
Deuce Bigalow: European Gigolo,Comedy,4.7,2.8
Deuce Bigalow: Male Gigolo,Comedy,5.5,4
Diamonds Are Forever,Adventure,6.3,6.4
Diamonds Are Forever,Action,6.3,6.4
Diamonds Are Forever,Thriller,6.3,6.4
Diary of the Dead,Horror,5.4,6.1
Diary of the Dead,Action,5.4,6.1
Diary of the Dead,Science Fiction,5.4,6.1
Dick,Comedy,5.7,6.3
Dick Tracy,Adventure,5.9,5.7
Dick Tracy,Action,5.9,5.7
Dick Tracy,Comedy,5.9,5.7
Dick Tracy,Thriller,5.9,5.7
Dick Tracy,Crime,5.9,5.7
Die Another Day,Adventure,5.8,6.1
Die Another Day,Action,5.8,6.1
Die Another Day,Thriller,5.8,6.1
Die Hard,Action,7.5,8.1
Die Hard,Thriller,7.5,8.1
Die Hard: With a Vengeance,Action,6.9,5.7
Die Hard: With a Vengeance,Thriller,6.9,5.7
The Wave,Drama,7.5,5.8
The Wave,Thriller,7.5,5.8
Dinosaur,Animation,6.2,6.2
Dinosaur,Family,6.2,6.2
Disaster Movie,Action,3,1.8
Disaster Movie,Comedy,3,1.8
Disclosure,Drama,5.9,5.7
Disclosure,Thriller,5.9,5.7
Disclosure,Crime,5.9,5.7
Disclosure,Mystery,5.9,5.7
Disclosure,Romance,5.9,5.7
Disturbia,Thriller,6.6,6.2
Disturbia,Drama,6.6,6.2
Disturbia,Mystery,6.6,6.2
Disturbing Behavior,Mystery,5.5,4.4
Disturbing Behavior,Horror,5.5,4.4
Disturbing Behavior,Science Fiction,5.5,4.4
Do the Right Thing,Drama,7.6,8.8
DOA: Dead or Alive,Adventure,5,4.5
DOA: Dead or Alive,Action,5,4.5
DOA: Dead or Alive,Thriller,5,4.5
Doctor Dolittle,Comedy,5.4,5.2
Doctor Dolittle,Family,5.4,5.2
Doctor Dolittle,Fantasy,5.4,5.2
Doctor Zhivago,Drama,7.4,7.2
Doctor Zhivago,Romance,7.4,7.2
Doctor Zhivago,War,7.4,7.2
Dogma,Fantasy,6.8,6.3
Dogma,Comedy,6.8,6.3
Dogma,Adventure,6.8,6.3
Domestic Disturbance,Mystery,5.4,4
Domestic Disturbance,Thriller,5.4,4
Domestic Disturbance,Crime,5.4,4
Don Juan DeMarco,Romance,6.2,5.8
Don Juan DeMarco,Drama,6.2,5.8
Don Juan DeMarco,Comedy,6.2,5.8
Don't Say a Word,Thriller,6,4.4
Donnie Brasco,Crime,7.4,7.8
Donnie Brasco,Drama,7.4,7.8
Donnie Brasco,Thriller,7.4,7.8
Donnie Darko,Fantasy,7.7,7.5
Donnie Darko,Drama,7.7,7.5
Donnie Darko,Mystery,7.7,7.5
Doom,Adventure,5,3.9
Doom,Action,5,3.9
Doom,Horror,5,3.9
Doomsday,Action,5.8,5
Doomsday,Thriller,5.8,5
Doomsday,Science Fiction,5.8,5
Double Impact,Thriller,5.3,3.5
Double Impact,Action,5.3,3.5
Double Impact,Crime,5.3,3.5
Double Impact,Drama,5.3,3.5
Double Jeopardy,Crime,6.2,4.4
Double Jeopardy,Drama,6.2,4.4
Double Jeopardy,Mystery,6.2,4.4
Double Jeopardy,Thriller,6.2,4.4
Doubt,Drama,7,6.9
Doubt,Mystery,7,6.9
Down in the Valley,Drama,5.9,6
Down in the Valley,Romance,5.9,6
Dr. Dolittle 2,Comedy,4.9,4.9
Dr. Dolittle 2,Family,4.9,4.9
Dr. Dolittle 2,Romance,4.9,4.9
Dr. Dolittle 2,Fantasy,4.9,4.9
Dr. No,Adventure,6.9,7.6
Dr. No,Action,6.9,7.6
Dr. No,Thriller,6.9,7.6
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Drama,8,9
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,8,9
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,War,8,9
Dracula,Romance,7.1,7.7
Dracula,Horror,7.1,7.7
Dragonfly,Drama,6.1,3.6
DragonHeart,Fantasy,6.4,5.7
Dragonslayer,Fantasy,6.5,6.1
Dreamgirls,Drama,6.6,7.2
Dreaming of Joseph Lees,Romance,8,4.8
Dreaming of Joseph Lees,Drama,8,4.8
Dressed to Kill,Horror,6.8,6.2
Dressed to Kill,Mystery,6.8,6.2
Dressed to Kill,Thriller,6.8,6.2
Driven,Action,4.5,3.6
Driving Miss Daisy,Comedy,7,7
Driving Miss Daisy,Drama,7,7
Drowning Mona,Comedy,5.4,4.4
Drowning Mona,Crime,5.4,4.4
Drowning Mona,Mystery,5.4,4.4
Drumline,Drama,6.2,6.7
Drumline,Romance,6.2,6.7
Drumline,Comedy,6.2,6.7
Drumline,Music,6.2,6.7
Duel in the Sun,Western,6.2,6.5
Dumb and Dumberer: When Harry Met Lloyd,Comedy,4.1,2.8
Dune,Action,6.5,6.1
Dune,Science Fiction,6.5,6.1
Dune,Adventure,6.5,6.1
Duplex,Action,5.9,5
Duplex,Comedy,5.9,5
Duplex,Thriller,5.9,5
Eagle Eye,Mystery,6.3,4.6
Eagle Eye,Thriller,6.3,4.6
Eagle Eye,Action,6.3,4.6
East Is East,Comedy,6.5,7.2
Eastern Promises,Thriller,7.2,7.6
Eastern Promises,Crime,7.2,7.6
Eastern Promises,Mystery,7.2,7.6
Ed Wood,Comedy,7.3,7.9
Ed Wood,Drama,7.3,7.9
Ed Wood,History,7.3,7.9
Edward Scissorhands,Fantasy,7.5,7.6
Edward Scissorhands,Drama,7.5,7.6
Edward Scissorhands,Romance,7.5,7.6
Eight Below,Adventure,6.7,6.5
Eight Below,Drama,6.7,6.5
Eight Below,Family,6.7,6.5
Pan's Labyrinth,Fantasy,7.6,8.6
Pan's Labyrinth,Drama,7.6,8.6
Pan's Labyrinth,War,7.6,8.6
Elektra,Action,4.8,3.7
Elektra,Fantasy,4.8,3.7
Elf,Comedy,6.4,6.9
Elf,Family,6.4,6.9
Elf,Fantasy,6.4,6.9
Elizabeth,Drama,7.1,7.3
Elizabeth,History,7.1,7.3
Elizabeth: The Golden Age,Drama,6.6,5.1
Elizabeth: The Golden Age,History,6.6,5.1
Elizabeth: The Golden Age,Romance,6.6,5.1
Elizabethtown,Comedy,6.1,4.6
Elizabethtown,Drama,6.1,4.6
Elizabethtown,Romance,6.1,4.6
Ella Enchanted,Family,5.9,5.6
Ella Enchanted,Fantasy,5.9,5.6
Ella Enchanted,Comedy,5.9,5.6
Elmer Gantry,Drama,7.3,7.8
Employee of the Month,Comedy,5.3,4
Employee of the Month,Romance,5.3,4
Enchanted,Comedy,6.6,7.3
Enchanted,Family,6.6,7.3
Enchanted,Fantasy,6.6,7.3
Enchanted,Romance,6.6,7.3
End of Days,Action,5.5,3.7
End of Days,Fantasy,5.5,3.7
End of Days,Horror,5.5,3.7
End of Days,Mystery,5.5,3.7
Endless Love,Drama,6.7,3.9
Endless Love,Romance,6.7,3.9
Enemy at the Gates,War,7.2,5.6
Enemy of the State,Action,6.7,6.4
Enemy of the State,Drama,6.7,6.4
Enemy of the State,Thriller,6.7,6.4
Enough,Drama,6.2,4
Enough,Thriller,6.2,4
Entrapment,Romance,6,5.2
Entrapment,Drama,6,5.2
Entrapment,Mystery,6,5.2
Epic Movie,Action,3.2,2.3
Epic Movie,Adventure,3.2,2.3
Epic Movie,Comedy,3.2,2.3
Equilibrium,Action,6.9,4.8
Equilibrium,Science Fiction,6.9,4.8
Equilibrium,Thriller,6.9,4.8
Eraser,Action,5.6,4.9
Eraser,Drama,5.6,4.9
Eraser,Mystery,5.6,4.9
Eraser,Thriller,5.6,4.9
Eraserhead,Drama,7.5,7.9
Eraserhead,Fantasy,7.5,7.9
Eraserhead,Horror,7.5,7.9
Eraserhead,Science Fiction,7.5,7.9
Erin Brockovich,Drama,7.1,7.3
Escape from Alcatraz,Crime,7.2,7
Escape from Alcatraz,Drama,7.2,7
Escape from L.A.,Action,5.6,5.6
Escape from L.A.,Adventure,5.6,5.6
Escape from L.A.,Science Fiction,5.6,5.6
Escape from L.A.,Thriller,5.6,5.6
Escape from New York,Science Fiction,6.9,6.8
Escape from New York,Action,6.9,6.8
Escape from the Planet of the Apes,Action,6.3,5.7
Escape from the Planet of the Apes,Science Fiction,6.3,5.7
Eternal Sunshine of the Spotless Mind,Science Fiction,7.9,8.3
Eternal Sunshine of the Spotless Mind,Drama,7.9,8.3
Eternal Sunshine of the Spotless Mind,Romance,7.9,8.3
Evan Almighty,Fantasy,5.3,4.5
Evan Almighty,Comedy,5.3,4.5
Evan Almighty,Family,5.3,4.5
Event Horizon,Horror,6.5,4.3
Event Horizon,Science Fiction,6.5,4.3
Event Horizon,Mystery,6.5,4.3
Everest,Adventure,6.7,7.7
Everest,Drama,6.7,7.7
Evil Dead II,Horror,7.6,7.8
Evil Dead II,Comedy,7.6,7.8
Evil Dead II,Fantasy,7.6,7.8
Evita,History,5.9,6.5
Evita,Drama,5.9,6.5
Evita,Music,5.9,6.5
Executive Decision,Action,5.8,6
Executive Decision,Adventure,5.8,6
Executive Decision,Drama,5.8,6
Executive Decision,Thriller,5.8,6
eXistenZ,Action,6.7,6.7
eXistenZ,Thriller,6.7,6.7
eXistenZ,Science Fiction,6.7,6.7
eXistenZ,Horror,6.7,6.7
Exit Wounds,Action,5.3,4.4
Exit Wounds,Crime,5.3,4.4
Exit Wounds,Thriller,5.3,4.4
Exorcist II: The Heretic,Horror,4.5,3.6
Exorcist II: The Heretic,Thriller,4.5,3.6
Exorcist II: The Heretic,Fantasy,4.5,3.6
Exorcist: The Beginning,Horror,4.7,3.6
Exorcist: The Beginning,Mystery,4.7,3.6
Exorcist: The Beginning,Thriller,4.7,3.6
Extreme Measures,Drama,5.7,6
Extreme Measures,Thriller,5.7,6
Extreme Ops,Action,5,2.9
Extreme Ops,Adventure,5,2.9
Extreme Ops,Drama,5,2.9
Extreme Ops,Thriller,5,2.9
Eyes Wide Shut,Mystery,7.1,7.3
Eyes Wide Shut,Drama,7.1,7.3
Face/Off,Action,6.8,7.9
Face/Off,Crime,6.8,7.9
Face/Off,Science Fiction,6.8,7.9
Face/Off,Thriller,6.8,7.9
Facing the Giants,Drama,6.6,4.1
Fahrenheit 9/11,Documentary,6.8,7.3
Failure to Launch,Comedy,5.5,4.6
Fair Game,Drama,6.5,2.4
Fair Game,Thriller,6.5,2.4
Faithful,Comedy,4.8,3.8
Faithful,Crime,4.8,3.8
Faithful,Drama,4.8,3.8
Family Plot,Comedy,6.7,7
Family Plot,Crime,6.7,7
Family Plot,Thriller,6.7,7
Fantasia,Animation,7.2,8.5
Fantasia,Family,7.2,8.5
Fantasia,Music,7.2,8.5
Fantastic Four,Action,4.4,4.5
Fantastic Four,Adventure,4.4,4.5
Fantastic Four,Science Fiction,4.4,4.5
Far from Heaven,Drama,6.9,8.1
Far from Heaven,Romance,6.9,8.1
Fast Times at Ridgemont High,Comedy,7,6.7
Fatal Attraction,Drama,6.6,6.8
Fatal Attraction,Romance,6.6,6.8
Fatal Attraction,Thriller,6.6,6.8
Fear and Loathing in Las Vegas,Adventure,7.2,5.8
Fear and Loathing in Las Vegas,Drama,7.2,5.8
Fear and Loathing in Las Vegas,Comedy,7.2,5.8
Femme Fatale,Thriller,6.2,5.4
Femme Fatale,Crime,6.2,5.4
Femme Fatale,Romance,6.2,5.4
Fever Pitch,Comedy,5.9,6.2
Fever Pitch,Drama,5.9,6.2
Fever Pitch,Romance,5.9,6.2
Fiddler on the Roof,Drama,7.4,7.8
Fiddler on the Roof,Romance,7.4,7.8
Fido,Romance,6.6,6.4
Fido,Comedy,6.6,6.4
Fido,Drama,6.6,6.4
Fido,Horror,6.6,6.4
Fight Club,Drama,8.3,7.3
Final Destination,Horror,6.4,4.6
Final Destination 2,Horror,5.9,5
Final Destination 2,Mystery,5.9,5
Final Destination 3,Horror,5.8,5.1
Final Destination 3,Mystery,5.8,5.1
Final Fantasy: The Spirits Within,Adventure,5.9,5.2
Final Fantasy: The Spirits Within,Action,5.9,5.2
Final Fantasy: The Spirits Within,Animation,5.9,5.2
Final Fantasy: The Spirits Within,Fantasy,5.9,5.2
Final Fantasy: The Spirits Within,Science Fiction,5.9,5.2
Final Fantasy: The Spirits Within,Thriller,5.9,5.2
Find Me Guilty,Drama,6.5,6
Find Me Guilty,Action,6.5,6
Find Me Guilty,Comedy,6.5,6
Find Me Guilty,Crime,6.5,6
Finding Forrester,Drama,7,6.5
Finding Nemo,Animation,7.6,8.5
Finding Nemo,Family,7.6,8.5
Finding Neverland,Drama,7.2,7.4
Firefox,Science Fiction,5.5,5.2
Firefox,Action,5.5,5.2
Firefox,Adventure,5.5,5.2
Firefox,Thriller,5.5,5.2
Fireproof,Drama,7,4.4
Firestarter,Fantasy,5.9,5
Firestarter,Drama,5.9,5
Firestarter,Horror,5.9,5
Firestarter,Action,5.9,5
Firestarter,Thriller,5.9,5
Firewall,Thriller,5.6,4.6
First Blood,Action,7.2,7.1
First Blood,Adventure,7.2,7.1
First Blood,Thriller,7.2,7.1
First Blood,War,7.2,7.1
First Knight,Action,5.9,5.2
First Knight,Adventure,5.9,5.2
First Knight,Drama,5.9,5.2
First Knight,Romance,5.9,5.2
"First Love, Last Rites",Drama,3,6.1
Flags of Our Fathers,War,6.7,7
Flags of Our Fathers,Drama,6.7,7
Flags of Our Fathers,History,6.7,7
Flash Gordon,Science Fiction,6.1,6.3
Flashdance,Drama,6.1,4.7
Flashdance,Music,6.1,4.7
Flashdance,Romance,6.1,4.7
Flatliners,Drama,6.3,5.3
Flatliners,Horror,6.3,5.3
Flatliners,Science Fiction,6.3,5.3
Flatliners,Thriller,6.3,5.3
Fled,Action,5.2,4.3
Fled,Comedy,5.2,4.3
Fled,Thriller,5.2,4.3
Flicka,Drama,6.1,5.7
Flight of the Phoenix,Action,5.7,4.8
Flight of the Phoenix,Adventure,5.7,4.8
Flight of the Phoenix,Drama,5.7,4.8
Flight of the Phoenix,Thriller,5.7,4.8
Flightplan,Thriller,6.1,5.3
Flightplan,Drama,6.1,5.3
Flightplan,Mystery,6.1,5.3
Flipper,Adventure,5.3,4.8
Flipper,Family,5.3,4.8
Flirting with Disaster,Comedy,6.3,7.4
Flirting with Disaster,Romance,6.3,7.4
Flubber,Comedy,5.3,3.7
Flubber,Family,5.3,3.7
Flubber,Science Fiction,5.3,3.7
Flushed Away,Adventure,6,6.7
Flushed Away,Animation,6,6.7
Flushed Away,Comedy,6,6.7
Flushed Away,Family,6,6.7
Flyboys,Action,6.3,4.9
Flyboys,Adventure,6.3,4.9
Flyboys,Drama,6.3,4.9
Flyboys,History,6.3,4.9
Flyboys,Romance,6.3,4.9
Flyboys,War,6.3,4.9
Fool's Gold,Romance,5.4,3.6
Fool's Gold,Comedy,5.4,3.6
Fool's Gold,Adventure,5.4,3.6
Footloose,Drama,6.4,5.6
Footloose,Family,6.4,5.6
Footloose,Music,6.4,5.6
Footloose,Romance,6.4,5.6
For Your Consideration,Comedy,5.9,5.8
For Your Consideration,Drama,5.9,5.8
For Your Eyes Only,Adventure,6.3,6.2
For Your Eyes Only,Action,6.3,6.2
For Your Eyes Only,Thriller,6.3,6.2
Force 10 from Navarone,Action,6.4,6.1
Force 10 from Navarone,Adventure,6.4,6.1
Force 10 from Navarone,War,6.4,6.1
Force 10 from Navarone,Thriller,6.4,6.1
Forgetting Sarah Marshall,Comedy,6.4,7
Forgetting Sarah Marshall,Romance,6.4,7
Forgetting Sarah Marshall,Drama,6.4,7
Forrest Gump,Comedy,8.2,6.9
Forrest Gump,Drama,8.2,6.9
Forrest Gump,Romance,8.2,6.9
Four Christmases,Comedy,5.3,4.3
Four Christmases,Romance,5.3,4.3
Four Christmases,Drama,5.3,4.3
Four Rooms,Crime,6.5,3.5
Four Rooms,Comedy,6.5,3.5
